recipe,preptime,cooktime,cuisine,course,diet,ingredients
Palak Chana Dal Recipe - Healthy Spinach Gram Dal Recipe,20,30,North Indian Recipes,Lunch,High Protein Vegetarian,"1 cup Chana dal (Bengal Gram Dal) - soaked in water for about 20 minutes,200 grams Spinach Leaves (Palak) - washed and chopped,3 cups Water,1 teaspoon Turmeric powder (Haldi),Salt - to taste,2 tablespoons Ghee,1/4 teaspoon Asafoetida (hing),1 teaspoon Cumin seeds (Jeera),2 Dry Red Chillies,1 tablespoon Ginger Garlic Paste,1 Onion - chopped,2 Green Chillies - chopped,1 Tomato - chopped,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,1/2 teaspoon Cumin powder (Jeera),Salt - to taste"
Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),15,30,South Indian Recipes,Lunch,Vegetarian,"1/2 cup Yellow Moong Dal (Split),1 Cucumber - finely chopped,1 Carrot (Gajjar) - grated,1/4 cup Fresh coconut - grated,2 tablespoon Lemon juice,Salt - to taste,1 teaspoon Sunflower Oil,1 teaspoon Mustard seeds,2 Green Chillies - slit,1/2 teaspoon Asafoetida (hing),1 sprig Curry leaves - roughly torn,Coriander (Dhania) Leaves - chopped"
Maharashtrian Style Semolina and Yogurt Cake Recipe,60,25,Maharashtrian Recipes,Dessert,Vegetarian,"1 cup Sooji (Semolina/ Rava),1 cup Curd (Dahi / Yogurt),5 Saffron strands,1/2 teaspoon Cardamom Powder (Elaichi),1 teaspoon Baking powder,3 teaspoons Caster Sugar,10 Cashew nuts,10 Raisins,2 teaspoons Ghee"
Ragi Masala Roti Recipe,20,20,South Indian Recipes,Lunch,Diabetic Friendly,"2 cups Ragi Flour (Finger Millet/ Nagli),1 Onion - finely chopped,2 Green Chillies - finely chopped,1 Carrot (Gajjar) - grated,1/2 cup Dill leaves - finely chopped,1/4 cup Coriander (Dhania) Leaves - finely chopped,1/2 teaspoon Cumin seeds (Jeera),Salt - to taste,Ghee - as required"
Dry Sweet Potato Thoran Recipe,10,10,Kerala Recipes,Side Dish,Vegetarian,"2 Sweet Potatoes - medium size,1 Onion,1/2 teaspoon Rasam Powder,Turmeric powder (Haldi) - a pinch,Asafoetida (hing) - a pinch,Salt - to taste,2 teaspoons Sunflower Oil,1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 sprig Curry leaves"
Oreo Milkshake Recipe,10,15,Continental,Snack,Vegetarian,"8 Oreo biscuits - broken into pieces,1/2 cup Vanilla Ice cream - 2 scoops,1/4 cup Milk,1 tablespoon Chocolate sauce,Chocolate sauce - as required for garnishing,Heavy whipping cream - as required for garnishing"
Mexican Grilled Corn Flavoured With Cheesy Garlic Mayo Recipe,5,20,Mexican,Snack,Vegetarian,"4 Sweet corn,3 tablespoons Butter,1 tablespoon Paprika powder,4 tablespoon Del Monte Cheesy Garlic Mayo,1/2 Lemon - wedged,Coriander (Dhania) Leaves - for garnish,1 tablespoon Parmesan cheese - grated"
Paneer Matar Butter Masala (Indian Cottage Cheese and Peas Masala With Butter) Recipe,15,45,North Indian Recipes,Dinner,High Protein Vegetarian,"1-1/2 cups Paneer (Homemade Cottage Cheese) - cubed,Sunflower Oil - as required,1/2 cup Green peas (Matar),Salt - to taste,1 teaspoon Sugar,1/2 teaspoon Red Chilli powder,1/4 cup Milk,1 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1 Onion - red,2 Tomatoes - finely chopped,1 inch Ginger - finely chopped,1 clove Garlic - peeled and finely chopped,2 tablespoons Ghee - or clarified butter,2 Dry Red Chillies,3 Cardamom (Elaichi) Pods/Seeds,1/2 inch Cinnamon Stick (Dalchini),4 Whole Black Peppercorns,1/2 teaspoon Coriander (Dhania) Seeds,1/4 cup Cashew nuts - broken into small pieces"
Dhugare Baingan Recipe - Dhungare Baingan Recipe,5,20,Lucknowi,Side Dish,Vegetarian,"1 eggplant, 2 cups yogurt, 1 green chilli - chopped, 1 tsp cumin powder, 1/2 tsp Kashmiri red chilli powder, 1/2 tsp garam masala powder, 1 onion - thin and straight cut, salt - 1 tbsp ghee, 2 tbsp coriander - chopped as per taste"
Rajasthani Style Dried Gatta Capsicum Vegetable Recipe,10,30,Rajasthani,Side Dish,No Onion No Garlic (Sattvic),"1 cup Gram flour (besan),1/2 teaspoon Ajwain (Carom seeds),1/4 teaspoon Red Chilli powder,2 tablespoons Curd (Dahi / Yogurt),1 tablespoon Sunflower Oil,Salt - to taste,1 Green Bell Pepper (Capsicum) - cut into cubes,1 teaspoon Cumin seeds (Jeera),1/4 teaspoon Asafoetida (hing),1 teaspoon Turmeric powder (Haldi),1/4 teaspoon Red Chilli powder,2 teaspoon Garam masala powder,1 teaspoon Amchur (Dry Mango Powder),1 teaspoon Coriander Powder (Dhania),1 teaspoon Coriander Powder (Dhania),Salt - to taste,4 sprig Coriander (Dhania) Leaves - chopped,Sunflower Oil"
Indo Chinese Crispy Chicken Chilli Recipe,10,60,Fusion,Appetizer,High Protein Non Vegetarian,"250 grams Chicken - cut into medium sized pieces,Sunflower Oil - as required,2 tablespoons Garlic - minced,1 tablespoon Ginger - minced,2 Green Chillies - slit,1 Onion - sliced,1 Green Bell Pepper (Capsicum) - sliced,1 tablespoon Soy sauce,1/2 teaspoon Vinegar,1/2 teaspoon Black pepper powder,Salt - to taste,1 tablespoon Red Chilli sauce,1/2 teaspoon Green Chilli Sauce,1 tablespoon Roasted tomato pasta sauce,1 teaspoon Corn flour,Water - as required,1/2 teaspoon Black pepper powder,1/2 teaspoon Soy sauce,1/2 teaspoon Red Chilli sauce,1-1/2 tablespoon Corn flour,2-1/2 tablespoons All Purpose Flour (Maida),Water - as required,Salt - as required"
And fish soup recipe - Bengali fish curry,10,40,Bengali Recipes,Lunch,High Protein Non Vegetarian,"1 Aar Maach (fish) - (rohu or katla),1 Tomato,1 Bay leaf (tej patta),2 tablespoons Ginger Garlic Paste,3 Green Chillies,1 teaspoon Cumin seeds (Jeera),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),Mustard oil - as required,Salt - to taste,Water - as required,Coriander (Dhania) Leaves - Few sprigs"
Stem Lettuce Tamarind Broth Recipe - Surri left behind by Amarnath Greens,10,20,South Indian Recipes,Lunch,Diabetic Friendly,"1 cup Green Amaranth Leaves - roughly chopped,20 grams Tamarind - soaked in hot water and pulp extracted,1 Onion - finely chopped,1 Tomato - roughly chopped,10 cloves Garlic,1 teaspoon Mustard seeds,1/4 teaspoon Asafoetida (hing),1 sprig Curry leaves,2 teaspoons Sambar Powder,1 teaspoon Methi Powder (Fenugreek Powder),1 tablespoon Sesame (Gingelly) Oil,Salt - to taste,Salt - to taste"
Crispy Masala Peanuts Recipe - Gujarati Sing Bhujia,10,25,Gujarati Recipes?,Snack,High Protein Vegetarian,"1 cup Raw Peanuts (Moongphali),2 tablespoons Gram flour (besan),1 tablespoon Rice flour,1/2 teaspoon Red Chilli powder,1/2 Coriander Powder (Dhania),2 pinch Chaat Masala Powder,1/4 cup Water,2 pinch Black pepper powder,1 teaspoon Sunflower Oil,Salt - to taste,Sunflower Oil - to fry"
Maa Ki Dal (Recipe),10,150,Punjabi,Dinner,High Protein Vegetarian,"1 cup black urad dal (split), 1 tablespoon kidney beans, 4 tomatoes - chopped, 1 inch ginger - grated, 1 tablespoon ghee, 1 teaspoon cumin seeds, 1 teaspoon Kashmiri red chilli powder, 1 tablespoon coriander powder , 1/2 teaspoon garam masala powder, salt - as per taste"
Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom,10,30,North Indian Recipes,Lunch,High Protein Vegetarian,"200 grams Button mushrooms - quatered,500 grams Spinach Leaves (Palak) - washed and chopped,1 Tomato - chopped or pureed,2 cloves Garlic - finely chopped,2 inch Ginger - finely chopped,2 Green Chillies - slit,1/2 teaspoon Cumin seeds (Jeera),1 inch Cinnamon Stick (Dalchini),1 teaspoon Cumin powder (Jeera),1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,2 tablespoons Fresh cream,1 tablespoon Ghee,Salt - to taste"
Dahi Bhalla Papdi Chaat Recipe,10,30,North Indian Recipes,Lunch,High Protein Vegetarian,"4 Curd Vada,1 cup Papdi puris,1 cup Sweet Chutney (Date & Tamarind),1 cup Green Chutney (Coriander & Mint),Chaat Masala Powder - to taste,Cumin powder (Jeera) - to taste,2 Onions - finely chopped,1 Carrot (Gajjar) - grated,1 Anardana Powder (Pomegranate Seed Powder),1/4 cup Raw Peanuts (Moongphali) - roasted and halved,1 cup Boondi - or sev,2 sprig Coriander (Dhania) Leaves - chopped"
Wheat Grass Shikanji - Wheat Grass Lemonade Recipe,10,20,Indian,Snack,Vegetarian,"50 grams Wheat Grass Powder,1/2 teaspoon Black pepper powder,Black Salt (Kala Namak) - to taste,1 teaspoon Cumin powder (Jeera),1 Lemon - juiced"
Chole Masala Recipe - Dry Masala Chickpeas (Recipe),10,30,Punjabi,Lunch,High Protein Vegetarian,"1 cup Kabuli Channa - Soak it overnight and then boil it, oil - as per use, 1 teaspoon cumin seeds, 1/4 teaspoon ginger-paste, 2 teaspoons chana masala powder, 2 teaspoons red chilli powder, 1/4 teaspoon Spoon cumin powder, 2 teaspoon Amchoor powder, 1/4 teaspoon turmeric powder, 1 tablespoon Coriander powder, salt - as per taste"
Rajasthani Kachri Chutney Recipe - Rajasthani Kachri Ki Chutney Recipe,10,8,Rajasthani,Side Dish,Vegetarian,"6 kachris, 12 cloves garlic, 4 dry red chillies, 1 tablespoon cumin seeds, salt - as per taste, 3 tablespoons curd, 1 tsp ghee"
Fasting Potato Paneer Recipe - Potato Paneer Curry Without Onion And Garlic Recipe,20,60,North Indian Recipes,Lunch,Vegetarian,"7 Potatoes - Chopped, 350 gms Cheese - Chopped, 5 Tomatoes, 2 inch Ginger - Grated, 2 Green Chillies, 1 teaspoon Red Chilli Powder, 1 teaspoon Coriander Powder, 1 teaspoon Cumin Powder - Baked, Salt - As per taste, oil - Green coriander - Finely chopped according to use"
 Katachi Amti (Recipe In Hindi),10,15,Maharashtrian Recipes,Lunch,Vegetarian,"2 cups lentil water - chana lentil water, 1 cup water - as per the experiment, 3 long, 2 whole black peppers, 1 teaspoon cumin, 1 teaspoon mustard, 1 bay leaf, 5 curry leaves - break, 1 teaspoon Jaggery - grated, 1 teaspoon tamarind paste - reduce as much as you like, 1/2 teaspoon goda masala, 1 tablespoon oil, coriander leaves - little, salt - to taste"
Khara Obbattu Recipe (Bread Stuffed With Spicy Potato Mixture Recipe),30,45,Karnataka,Lunch,Vegetarian,"1 cup Whole Wheat Flour,1/4 cup All Purpose Flour (Maida),1/4 cup Sooji (Semolina/ Rava),2 tablespoon Curd (Dahi / Yogurt),1 teaspoon Turmeric powder (Haldi),Salt - a pinch,Sunflower Oil - for kneading,4 Potatoes (Aloo) - boiled and mashed,1/2 teaspoon Cumin seeds (Jeera),1 Onion - finely chopped,4 cloves Garlic - finely crushed,1/2 inch Ginger - finely chopped,2 Green Chillies - finely chopped,5 Curry leaves - finely chopped,2 sprig Coriander (Dhania) Leaves - finely chopped,2 teaspoon Red Chilli powder,1/4 teaspoon Turmeric powder (Haldi),Salt - to taste,Sunflower Oil - as needed"
Cauliflower Matar Bhurji (Recipe in Hindi),10,35,Indian,Dinner,Vegetarian,"1 cabbage, 1 cup green peas, 1 onion - finely chopped, 3 green chillies, 1 tomato - finely chopped, 1 teaspoon ginger garlic paste, 1/4 teaspoon turmeric powder, 1/2 teaspoon garam masala powder , 1-1 / 2 tablespoon oil, 1 teaspoon red chilli powder, salt - as per use, coriander leaves - little"
Kashmiri Style Paneer Masala Recipe,5,30,Kashmiri,Lunch,Vegetarian,"350 grams Paneer (Homemade Cottage Cheese) - diced in cubes,1 pinch Asafoetida (hing),2 inch Cinnamon Stick (Dalchini),2 Bay leaves (tej patta),6 Cardamom (Elaichi) Pods/Seeds,1/2 teaspoon Ajwain (Carom seeds),3 teaspoon Homemade tomato puree,1/2 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Dry ginger powder,1/4 cup Curd (Dahi / Yogurt),1 teaspoon Fennel seeds (Saunf) - powdered,1 pinch Saffron strands,1 pinch Garam masala powder,Salt - to taste,2 sprig Coriander (Dhania) Leaves - to garnish"
Aromatic Vegetable Pulao Recipe,20,30,Indian,Lunch,Vegetarian,"2 cups Rice,4 tablespoons Sunflower Oil,1 Onion - chopped,1 Tomato - chopped,1 tablespoon Ginger Garlic Paste,1/4 teaspoon Red Chilli powder,1/4 cup Carrots (Gajjar) - chopped,1/4 cup Green peas (Matar) - steamed,1/4 cup Green Bell Pepper (Capsicum) - chopped,1/4 cup Potato (Aloo) - cut into small cubes,2 Cardamom (Elaichi) Pods/Seeds,2 Cloves (Laung),1 teaspoon Garam masala powder,1 Star anise,1 inch Cinnamon Stick (Dalchini),Coriander (Dhania) Leaves - a small bunch finely chopped,Mint Leaves (Pudina) - a few sprigs finely chopped,Salt - to taste"
Spicy Curd Recipe - Spicy Curd With Onions,10,20,Indian,Side Dish,Vegetarian,"Water - as per use, 1 cup curd, 1 carrot - tighten, 1 cucumber - chop, salt - according to taste, 1 teaspoon oil, coriander leaves - a little, 1/2 teaspoon cumin seeds - make a powder, 1 Teaspoon red chilli powder, 1 teaspoon cumin seeds, 1 onion - finely chopped, 1 green chili - finely chopped"
Mustard Vegetable Curry Recipe,20,30,Indian,Side Dish,Vegetarian,"2 teaspoons oil, 1 teaspoon cumin seeds, 2 cloves garlic - grated, 2 onions - finely chopped, 1 teaspoon red chilli powder, 1/2 teaspoon turmeric powder, 1/2 cup coconut milk, 1 cup vegetable Stock, 2 tablespoons Dijon Mustard, 2 carrots - cut round thinly, 5 green beans - cut into small pieces, 1/4 cup green peas - steam, 2 potatoes - boiled, salt - as per taste"
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,10,30,Indian,Dinner,Vegetarian,"1 cup Basmati rice - (or any other rice),120 ml Coconut milk,1 teaspoon Turmeric powder (Haldi),10 Green beans (French Beans) - diced small,1-1/2 cups Cauliflower (gobi) - florets,2 Carrots (Gajjar) - diced small,2 cloves Garlic - grated,1 Ginger,2 Green Chillies - slit,2 Cloves (Laung),2 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon Stick (Dalchini),1 Bay leaf (tej patta),Salt - to taste,2 tablespoons Ghee"
Bengali Aloo Dum Recipe - Bengali Aloo Dum Recipe,20,50,Bengali Recipes,Main Course,Vegetarian,"200 grams small potatoes - boil and remove the skin, 2 tsp turmeric powder, 2 cardamom, 1 inch cinnamon, 2 long, 1 bay leaf, 1/2 cup tomato puree, 1 tsp garam masala powder, 1/2 cup yogurt, 1 tsp red chilli powder, 1 tsp coriander powder, 1 tsp sugar, salt - as per taste, oil - as per use, 1 stock green coriander - finely chopped, 1 onion - chopped, 1 inch ginger - chopped, 3 cloves garlic, 2 green chillies - chopped"
Hyderabad Soy Biryani Recipe With Vegetables & Palak,40,50,Hyderabadi,Main Course,Vegetarian,"2 cups Basmati rice - soaked for 30 minutes,8 cups Water,Salt - to taste,1/4 cup Soy Chunks (Nuggets) - soaked in hot water for 15 minutes,1/4 cup Carrots (Gajjar) - chopped,1/4 cup Green beans (French Beans) - chopped,1/4 cup Green peas (Matar),1/4 cup Cauliflower (gobi) - chopped,1/4 cup Green Bell Pepper (Capsicum) - chopped,3 Potatoes (Aloo) - cubed,2 Tomatoes - chopped,4 Onions - chopped,2 tablespoons Ginger Garlic Paste,Sunflower Oil - to cook,1 inch Cinnamon Stick (Dalchini),1 Cardamom (Elaichi) Pods/Seeds,1 Cloves (Laung),1/4 teaspoon Cumin seeds (Jeera),1-1/2 cups Spinach Leaves (Palak) - or 1 bunch,1/2 cup Coriander (Dhania) Leaves,1/2 cup Mint Leaves (Pudina),3 Green Chillies,5 Badam (Almond),2 inch Cinnamon Stick (Dalchini),3 Cardamom (Elaichi) Pods/Seeds,1 Black cardamom (Badi Elaichi),3 Cloves (Laung),1 Bay leaf (tej patta),1/2 teaspoon Ajwain (Carom seeds),1/4 Mace (Javitri),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1-1/2 teaspoon Coriander Powder (Dhania),2 teaspoon Garam masala powder,Salt - to taste,2 cups Onions - sliced,1/4 cup Coriander (Dhania) Leaves - chopped,1/4 cup Mint Leaves (Pudina) - roughly torn,1/2 cup Milk,7 Saffron strands,Ghee - as needed"
North Indian Feni Recipe - Sevaiyan Kheer,10,15,North Indian Recipes,Dessert,Vegetarian,"100 grams Pheni - or one roll,300 ml Milk,1/4 cup Sugar,1 tablespoon Ghee,2 tablespoons Cashew nuts,2 tablespoons Raisins,2 tablespoons Almond Meal (Badam Powder)"
South Indian Papad Curry Recipe - Appalam Vathal Kuzhambu (Recipe),10,15,Tamil Nadu,Dinner,Vegetarian,"4 papad - urad dal, tamarind - as big as lemon, 1 tablespoon sambar powder, 1/4 teaspoon turmeric powder, 1 teaspoon horse-powder, 1 teaspoon mustard, 1/2 teaspoon gram lentils, 1 pinch Asafoetida, 1 dry red chili, 1 curry leaves, 3 teaspoons sesame oil, salt - as per taste"
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,10,20,Indian,Lunch,Vegetarian,"1/4 cup Rice,1/4 cup Yellow Moong Dal (Split),1 Carrot (Gajjar) - finely chopped,3 Green beans (French Beans) - finely chopped,1 teaspoon Ghee,1/4 teaspoon Cumin seeds (Jeera),1/4 teaspoon Asafoetida (hing),Salt - a pinch"
Dahi Wale Aloo Recipe (Indian Yogurt-based Potato Curry),10,45,North Indian Recipes,Lunch,Vegetarian,"4 Potatoes (Aloo) - chopped,1-1/2 cups Curd (Dahi / Yogurt),2 tablespoons Gram flour (besan),1/3 teaspoon Asafoetida (hing),1 teaspoon Cumin seeds (Jeera),1 sprig Curry leaves,1 Onion - finely chopped,1/2 teaspoon Ginger - finely chopped,1/2 teaspoon Garlic - finely chopped,2 Green Chillies - chopped,1 teaspoon Red Chilli powder,1-1/2 teaspoon Coriander Powder (Dhania),1/2 Turmeric powder (Haldi),Salt - to taste,4 tablespoons Sunflower Oil,Coriander (Dhania) Leaves - chopped or garnish"
Vegetable Fried Brown Rice Recipe,15,25,Chinese,Lunch,Vegetarian,"2 cups Brown Rice - cooked,2 tablespoons Garlic - chopped,1 Green Chilli - chopped,1/2 cup Carrots (Gajjar) - chopped,1/2 cup Green beans (French Beans) - chopped,1/2 cup Green Bell Pepper (Capsicum) - chopped,1 Onion - chopped,1/2 cup Cabbage (Patta Gobi/ Muttaikose) - chopped,1 tablespoon Roasted tomato pasta sauce - or store bought,1 tablespoon Red Chilli sauce,1 teaspoon Soy sauce,1/2 teaspoon Ginger - freshly grated,2 tablespoons Spring Onion Greens - chopped,Salt - as required,1 teaspoon Vinegar,Extra Virgin Olive Oil - as required"
Eggless Devil's Food Cake Recipe,20,90,Continental,Dessert,Vegetarian,"2 cups All Purpose Flour (Maida),2/3 cup Cocoa Powder,1-1/2 teaspoons Baking powder,1/4 teaspoon Salt,3/4 cup Butter - softened,1-1/2 cups Caster Sugar,1-1/2 teaspoon Vanilla Extract,3 Whole Eggs - or Flaxmeal Egg Replacer,3/4 cup Curd (Dahi / Yogurt),1/2 teaspoon Red Food Color - (only optional),Chocolate ganache - as needed,3 tablespoons Flax seed powder (flax meal),9 tablespoons Chilled water"
Bengali Langcha Recipe With Mawa,20,30,Bengali Recipes,Dessert,Vegetarian,"1/2 cup Milk,1 tablespoon Sooji (Semolina/ Rava),1 cup Milk Powder,1/2 cup All Purpose Flour (Maida),1/8 teaspoon Baking soda,1 tablespoon Caster Sugar,2 cups Sugar,2-1/2 cups Water,1 teaspoon Cardamom Powder (Elaichi),1 teaspoon Pistachios - chopped,Ghee - or Vegetable oil"
Kovakkai Podi Curry Recipe - Tamil Nadu Style Ivy Gourd Stir Fry,15,20,Tamil Nadu,Lunch,Diabetic Friendly,"400 grams Tindora (Dondakaya/ Kovakkai) - thinly sliced vertically,1 teaspoon Mustard seeds,1/2 teaspoon White Urad Dal (Split),pinch Asafoetida (hing),1 sprig Curry leaves,1 Dry Red Chilli,1 tablespoon Sunflower Oil,Salt - to taste,2 tablespoons Coriander (Dhania) Seeds,1 tablespoon White Urad Dal (Split),1 tablespoon Chana dal (Bengal Gram Dal),4 Dry Red Chillies,1/4 teaspoon Asafoetida (hing)"
Biryani Masala Powder Recipe - Biryani Masala Powder Recipe,5,5,Hyderabadi,Lunch,Diabetic Friendly,"2 bay leaves, 5 tablespoons coriander seeds, 2 tablespoons whole pepper, 2 tablespoons celery, 2 tablespoons cumin seeds, 6 cardamom, 1 large cardamom, 3 mace, 3 stone flowers, 3 star anis, 1/4 small Spoon Nutmeg Powder, 2 inch Cinnamon, 5 Long"
"Chicken Sausages, Baked Beans and Stir Fried Broccoli Recipe",10,30,Continental,World Breakfast,Non Vegeterian,"2 Chicken sausage,1 teaspoon Butter,250 grams Dry beans - (such as cannellini or soya beans),1 teaspoon Extra Virgin Olive Oil,1 Onion - finely chopped,1 clove Garlic - grated,500 grams Tomatoes - pureed,1 tablespoon Honey - or more to taste,1 teaspoon Cumin powder (Jeera),1 teaspoon Dried oregano,1/4 teaspoon Red Chilli powder - or cayenne pepper,Salt and Pepper - ,1 cup Broccoli - cut into small florets,2 cloves Garlic - chopped,1 teaspoon Dried Thyme Leaves,1 teaspoon Dried oregano,Salt - to taste,Black pepper powder - for seasoning"
Crispy Chicken Dumplings Recipe,0,35,Indian,Snack,Vegetarian,"300 grams Boneless chicken,1-1/2 teaspoons Ginger Garlic Paste,1-1/2 teaspoons Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Black pepper powder,2 Green Chillies - slit,2 sprig Curry leaves,1 Whole Egg,1 tablespoon Gram flour (besan),1 tablespoon Corn flour,Salt - to taste,Sunflower Oil - to deep fry"
Turkish Chicken Gozleme Recipe-Stuffed Spinach Chicken Bread,10,45,Middle Eastern,Lunch,Non Vegeterian,"1/2 cup All Purpose Flour (Maida),1/2 cup Whole Wheat Flour,1/4 cup Hung Curd (Greek Yogurt),Salt - to taste,250 grams Chicken - minced,1 cup Spinach Leaves (Palak) - finely chopped,1 Onion - finely chopped,4 cloves Garlic - finely chopped,1 Tomatoes - finely chopped,1 tablespoon Cumin powder (Jeera),1 tablespoon Coriander Powder (Dhania),1 1/2 teaspoon Paprika powder,1 teaspoon Black pepper powder,3 sprig Mint Leaves (Pudina) - chopped,10 sprig Spring Onion (Bulb & Greens) - chopped,Salt - to taste,100 grams Feta Cheese - crumbled"
Moon Biscuits Recipe (Moon Shaped Baked Cookies),25,15,Indian,Snack,Vegetarian,"300 grams Vivatta Maida,75 grams Sugar,175 grams Butter (unsalted),15 grams Milk Powder,1 pinch Baking powder,1/2 teaspoon Vanilla Extract"
Andaman Style Steamed Garlic Prawns Recipe,10,30,Side Dish,Non Vegeterian,Vegetarian,"10 Prawns,1 tablespoon Soy sauce,1 teaspoon Sesame (Gingelly) Oil,10 cloves Garlic - finely chopped,2 Green Chillies - finely chopped,2 tablespoons Coriander (Dhania) Leaves - finely chopped,1/2 teaspoon Whole Black Peppercorns - crushed (optional),Lemon juice - few drops,2 tablespoon Sunflower Oil,Salt - to taste"
Fruit Pachadi Recipe,5,15,South Indian Recipes,Side Dish,Vegetarian,"2 cups fruit - cut into small pieces (pineapple, 1 1/2 cups yogurt - whisk, 1/4 teaspoon turmeric powder, 2 teaspoons jaggery, salt - as per taste, water - as per use, 1/4 cup coconut - tighten Take, 2 green chillies - chopped, 1 teaspoon mustard, 1 teaspoon mustard, 2 dry red peppers - break, 1 teaspoon oil, 1 sprig curry leaves"
Aloo Matar Masala Khichdi Recipe,5,20,Indian,Main Course,Vegetarian,"1 cup Rice,1/2 cup Green peas (Matar),3 Potatoes (Aloo) - cut into big cubes,1 Onion - thinly sliced,1 tablespoon Ginger Garlic Paste,2 Green Chillies - finely chopped,1 Black cardamom (Badi Elaichi),1 Bay leaf (tej patta),2 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon Stick (Dalchini),2 Cloves (Laung),1 teaspoon Cumin seeds (Jeera),1 teaspoon Coriander Powder (Dhania),1 teaspoon Cumin powder (Jeera),1/2 teaspoon Black pepper powder,1/2 teaspoon Red Chilli powder,1 tablespoon Ghee,1 tablespoon Coriander (Dhania) Leaves - finely chopped for garnish,Salt - to taste"
Rock Toast Recipe - Semolina Bread Toast,10,8,Indian,Indian Breakfast,Vegetarian,"1/2 cup Sooji (Semolina/ Rava),1/4 cup Curd (Dahi / Yogurt),1/4 cup Onion powder - finely chopped,1/2 cup Green Bell Pepper (Capsicum) - finely chopped,2 tablespoons Coriander (Dhania) Leaves - finely chopped,1 Green Chilli - finely chopped,1 teaspoon Black pepper powder,Salt - to taste,Sunflower Oil - for cooking the toast"
Potato Vindaloo Recipe (Spicy Goan Potato Curry),10,30,Goan Recipes,Lunch,Vegetarian,"12 Kashmiri dry red chillies - deseeded and soaked in hot water for 1/2 hour,1/4 teaspoon Methi Seeds (Fenugreek Seeds) - roasted,7 Garlic - cloves,4 Shallots - peeled,1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Turmeric powder (Haldi),2 teaspoon Vinegar,1/3 cup Water - as required to grind to puree,3 Potatoes (Aloo) - cleaned,Salt - as needed,2 tablespoon Sunflower Oil,1 teaspoon Mustard seeds,10 Curry leaves,Water - Enough for boiling potatoes,1/2 teaspoon Sugar"
Lu Potol Post Recipe (Lu Parwal In Poppy Seed Masala Recipe),15,45,Bengali Recipes,Dinner,Vegetarian,"15 Pointed gourd (Parval) - cut into wedges,3 to 4 Potatoes (Aloo) - skin peeled,1/2 teaspoon Methi Seeds (Fenugreek Seeds),1/2 teaspoon Cumin seeds (Jeera),1 teaspoon Fennel seeds (Saunf),3 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 Dry Red Chilli,1/2 inch Ginger - finely chopped,1/2 cup Fresh coconut - grated,2 tablespoon Poppy seeds,1 teaspoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),2 Green Chillies - finely chopped,1 teaspoon Sugar,Salt - to taste,Mustard oil - as required for cooking"
Aloo Bhey Ki Sabzi Recipe (Potato Lotus Stem Curry),15,30,North Indian Recipes,Lunch,Vegetarian,"3 Potatoes (Aloo) - peeled and diced,1 cup Lotus Stem - sliced round,1/2 cup Homemade tomato puree,1 teaspoon Cumin seeds (Jeera),1/4 teaspoon Asafoetida (hing),2 teaspoons Coriander Powder (Dhania),1 teaspoons Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,1 teaspoon Garam masala powder,Salt - to taste,Sunflower Oil - for cooking,4 sprig Coriander (Dhania) Leaves - finely chopped,2 Onions - roughly chopped,4 Garlic,1 inch Ginger,4 Green Chillies"
Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,10,5,Indian,Snack,Vegetarian,"8 Whole Wheat Brown Bread,2 Tomatoes - sliced thin into rounds,1 Cucumber - peeled and sliced into thin rounds,Salt - to sprinkle,Black pepper powder - to sprinkle,Chaat Masala Powder - to sprinkle,2 tablespoons Butter,4 tablespoons Green Chutney (Coriander & Mint),4 tablespoons Tomato Ketchup"
